Order,Tolerance,Fittted Par,Fit Type,Par Value (this fit),Par Value (original glm fit),Predicted alphaS (this fit),Predicted alphaS (glm fit),alphaS from Literature
Eulipotyphla,constant,Tv_human,one profiled; rest of parameters constant,2,1.48,0.6,0.9,0.54
Eulipotyphla,constant,g0,one profiled; rest of parameters constant,0.04,0.06,0.55,0.9,0.54
Eulipotyphla,constant,Tw,one profiled; glm fit rest of parameters,1,1.36,0.9,0.9,0.54
Eulipotyphla,constant,Tv_human,one profiled; glm fit rest of parameters,2,1.48,0.8,0.9,0.54
Eulipotyphla,constant,g0,one profiled; glm fit rest of parameters,0.04,0.06,0.55,0.9,0.54
Perissodactyla,constant,Tw,one profiled; rest of parameters constant,1,1.61,0.61,0.45,0.55
Perissodactyla,constant,Tv_human,one profiled; rest of parameters constant,2,1.48,0.55,0.45,0.55
Perissodactyla,constant,g0,one profiled; rest of parameters constant,0.04,0.03,0.51,0.45,0.55
Perissodactyla,constant,Tw,one profiled; glm fit rest of parameters,2,1.61,0.45,0.45,0.55
Perissodactyla,constant,Tv_human,one profiled; glm fit rest of parameters,1,1.48,0.54,0.45,0.55
Perissodactyla,constant,g0,one profiled; glm fit rest of parameters,0.04,0.03,0.51,0.45,0.55
Primates,constant,Tw,one profiled; rest of parameters constant,1,1.89,0.62,0.61,0.46
Primates,constant,Tv_human,one profiled; rest of parameters constant,2,2,0.55,0.61,0.46
Primates,constant,g0,one profiled; rest of parameters constant,0.03,0.05,0.43,0.61,0.46
Primates,constant,Tw,one profiled; glm fit rest of parameters,1,1.89,0.6,0.61,0.46
Primates,constant,Tv_human,one profiled; glm fit rest of parameters,2,2,0.61,0.61,0.46
Primates,constant,g0,one profiled; glm fit rest of parameters,0.04,0.05,0.46,0.61,0.46
Rodentia,constant,Tw,one profiled; rest of parameters constant,1,1.5,0.64,0.59,0.52
Rodentia,constant,Tv_human,one profiled; rest of parameters constant,2,1.52,0.58,0.59,0.52
Rodentia,constant,g0,one profiled; rest of parameters constant,0.04,0.05,0.54,0.59,0.52
Rodentia,constant,Tw,one profiled; glm fit rest of parameters,1,1.5,0.58,0.59,0.52
Rodentia,constant,Tv_human,one profiled; glm fit rest of parameters,2,1.52,0.53,0.59,0.52
Rodentia,constant,g0,one profiled; glm fit rest of parameters,0.04,0.05,0.53,0.59,0.52
Carnivora,complete,Tw,one profiled; rest of parameters constant,1,0.64,0.56,0.55,0.59
Carnivora,complete,Tv_human,one profiled; rest of parameters constant,0.43,0.48,0.59,0.55,0.59
Carnivora,complete,g0,one profiled; rest of parameters constant,0.05,0.05,0.57,0.55,0.59
Carnivora,complete,Tw,one profiled; glm fit rest of parameters,1,0.64,0.56,0.55,0.59
Carnivora,complete,Tv_human,one profiled; glm fit rest of parameters,0.38,0.48,0.59,0.55,0.59
Carnivora,complete,g0,one profiled; glm fit rest of parameters,0.05,0.05,0.58,0.55,0.59
Cetartiodactyla,complete,Tw,one profiled; rest of parameters constant,0,0.49,0.56,0.38,0.38
Cetartiodactyla,complete,Tv_human,one profiled; rest of parameters constant,0.96,0.48,0.37,0.38,0.38
Cetartiodactyla,complete,g0,one profiled; rest of parameters constant,0.03,0.03,0.38,0.38,0.38
Cetartiodactyla,complete,Tw,one profiled; glm fit rest of parameters,0.49,0.49,0.38,0.38,0.38
Cetartiodactyla,complete,Tv_human,one profiled; glm fit rest of parameters,0.47,0.48,0.38,0.38,0.38
Cetartiodactyla,complete,g0,one profiled; glm fit rest of parameters,0.03,0.03,0.39,0.38,0.38
Chiroptera,complete,Tw,one profiled; rest of parameters constant,1,1.01,0.57,0.92,0.92
Chiroptera,complete,Tv_human,one profiled; rest of parameters constant,0,0.48,0.77,0.92,0.92
Chiroptera,complete,g0,one profiled; rest of parameters constant,0.07,0.07,0.85,0.92,0.92
Chiroptera,complete,Tw,one profiled; glm fit rest of parameters,1,1.01,0.92,0.92,0.92
Chiroptera,complete,Tv_human,one profiled; glm fit rest of parameters,0.47,0.48,0.92,0.92,0.92
Chiroptera,complete,g0,one profiled; glm fit rest of parameters,0.07,0.07,0.87,0.92,0.92
Diprotodontia,complete,Tw,one profiled; rest of parameters constant,0,0.55,0.56,0.48,0.42
Diprotodontia,complete,Tv_human,one profiled; rest of parameters constant,0.86,0.11,0.42,0.48,0.42
Diprotodontia,complete,g0,one profiled; rest of parameters constant,0.03,0.03,0.39,0.48,0.42
Diprotodontia,complete,Tw,one profiled; glm fit rest of parameters,0,0.55,0.48,0.48,0.42
Diprotodontia,complete,Tv_human,one profiled; glm fit rest of parameters,0.33,0.11,0.42,0.48,0.42
Diprotodontia,complete,g0,one profiled; glm fit rest of parameters,0.02,0.03,0.42,0.48,0.42
Eulipotyphla,complete,Tw,one profiled; rest of parameters constant,0,0.36,0.59,0.82,0.49
Eulipotyphla,complete,Tv_human,one profiled; rest of parameters constant,0.75,0.48,0.49,0.82,0.49
Eulipotyphla,complete,g0,one profiled; rest of parameters constant,0.04,0.06,0.49,0.82,0.49
Eulipotyphla,complete,Tw,one profiled; glm fit rest of parameters,0,0.36,0.81,0.82,0.49
Eulipotyphla,complete,Tv_human,one profiled; glm fit rest of parameters,1,0.48,0.52,0.82,0.49
Eulipotyphla,complete,g0,one profiled; glm fit rest of parameters,0.04,0.06,0.5,0.82,0.49
Perissodactyla,complete,Tw,one profiled; rest of parameters constant,0,0.61,0.55,0.41,0.5
Perissodactyla,complete,Tv_human,one profiled; rest of parameters constant,0.64,0.48,0.5,0.41,0.5
Perissodactyla,complete,g0,one profiled; rest of parameters constant,0.04,0.03,0.46,0.41,0.5
Perissodactyla,complete,Tw,one profiled; glm fit rest of parameters,1,0.61,0.41,0.41,0.5
Perissodactyla,complete,Tv_human,one profiled; glm fit rest of parameters,0.16,0.48,0.5,0.41,0.5
Perissodactyla,complete,g0,one profiled; glm fit rest of parameters,0.04,0.03,0.47,0.41,0.5
Primates,complete,Tw,one profiled; rest of parameters constant,0,0.89,0.55,0.39,0.42
Primates,complete,Tv_human,one profiled; rest of parameters constant,0.86,1,0.41,0.39,0.42
Primates,complete,g0,one profiled; rest of parameters constant,0.03,0.05,0.38,0.39,0.42
Primates,complete,Tw,one profiled; glm fit rest of parameters,1,0.89,0.39,0.39,0.42
Primates,complete,Tv_human,one profiled; glm fit rest of parameters,0.95,1,0.41,0.39,0.42
Primates,complete,g0,one profiled; glm fit rest of parameters,0.06,0.05,0.44,0.39,0.42
Rodentia,complete,Tw,one profiled; rest of parameters constant,0,0.5,0.58,0.52,0.47
Rodentia,complete,Tv_human,one profiled; rest of parameters constant,0.77,0.52,0.47,0.52,0.47
Rodentia,complete,g0,one profiled; rest of parameters constant,0.04,0.05,0.48,0.52,0.47
Rodentia,complete,Tw,one profiled; glm fit rest of parameters,0,0.5,0.52,0.52,0.47
Rodentia,complete,Tv_human,one profiled; glm fit rest of parameters,0.65,0.52,0.47,0.52,0.47
Rodentia,complete,g0,one profiled; glm fit rest of parameters,0.04,0.05,0.47,0.52,0.47
